RESG_DIA,CAPTC_DIA,NR_COTST,VL_PATRIM_LIQ,VL_QUOTA,VL_TOTAL,SUGESTÃO
6673264.31,1572927.55,15955,366655715.84,13.3243666,366731718.08,1
4445799.52,1526156.63,15985,363919557.01,13.3310345,363986483.26,1
1239342.98,1045545.38,16007,363910412.23,13.3377987,363993041.06,1
3089721.13,2334146.36,16064,363358149.74,13.3452503,363390405.87,1
1250494.7,3217409.7,16118,365509146.18,13.3520112,365556363.4,1
1917061.02,3832801.99,16153,367605818.13,13.3586206,367662466.9,1
1261788.0,1739975.37,16192,368270276.78,13.3653896,368338497.51,1
913355.33,5265243.92,16223,372809675.49,13.3721948,372824688.5,1
1171524.01,4238870.79,16244,376066167.68,13.3789792,376088433.05,1
2144733.27,1794709.17,16274,375897246.7,13.3854221,375925739.81,1
4439217.27,2279789.58,16305,373926989.76,13.3921583,373966922.45,1
1200409.3,2212796.49,16327,375130510.58,13.3990038,375177185.31,1
1018155.76,1621518.46,16329,375930748.12,13.4060358,375991888.71,1
1114363.72,1288568.73,16340,376381245.74,13.4158886,376473176.39,1
726019.5,1438324.79,16363,377287983.9,13.4228191,377395804.42,1
1034650.01,2550124.09,16380,378996685.37,13.4296936,379053256.91,1
2359520.86,4230844.55,16381,381062601.37,13.4365889,381116072.74,1
811572.77,1957447.08,16392,382413503.89,13.4438184,382504721.86,1
11984876.28,2004245.49,16411,372638171.13,13.4510357,372577214.74,1
1118210.01,2645321.25,16434,374359910.06,13.4580611,374499093.7,1
1625726.69,2985917.46,16492,375914016.46,13.4650323,375996131.57,1
35311716.12,14809115.03,31850,5454276726.2,477.588221,5454746793.93,1
26077212.84,13549663.09,31781,5444449121.42,477.824634,5444844622.63,1
23826125.2,16314956.07,31697,5439842720.28,478.079567,5440196035.54,1
28526836.38,9392781.79,31640,5423540394.89,478.328433,5423918740.6,1
32847008.0,20367477.7,31593,5413373561.42,478.532401,5413750189.56,1
32628363.71,15492025.27,31516,5398122159.78,478.699026,5398520606.31,1
22753431.61,14630475.42,31447,5392239321.65,478.897677,5392648164.33,1
21259360.49,16051928.51,31413,5389810882.4,479.144486,5390174884.61,1
23346959.04,10707451.72,31354,5380181559.76,479.412086,5380566419.5,1
30755057.02,15049487.75,31304,5367425903.15,479.674944,5367873597.16,1
21720281.46,21013705.83,31240,5369598899.87,479.932285,5370054256.61,1
22848802.25,22414389.13,31188,5372129426.9,480.19729,5372534241.28,1
28018315.15,14651541.78,31136,5361733197.14,480.462847,5362169258.67,1
26006002.09,16168492.11,31069,5354840595.31,480.726776,5355289692.93,1
19906202.59,21894197.17,31010,5359498048.73,480.966434,5359906602.74,1
40074930.03,13561641.76,30958,5335506825.13,481.192766,5335907899.98,1
31418291.96,14856542.59,30890,5322201652.33,481.486467,5322689723.06,1
22833293.16,13267036.09,30842,5315410379.6,481.737513,5315881188.54,1
21589462.03,22112852.6,30784,5318999233.21,482.015337,5319416071.54,1
30802639.03,17842657.47,30738,5308196445.5,482.210825,5308661491.99,1
26711045.36,21712518.99,30682,5306318049.44,482.494266,5306788097.26,1
91595131.26,92951204.98,89502,8273389978.21,7.650244147,8273481970.56,1
45515524.87,91796724.47,89684,8323661398.5,7.653933827,8323754097.43,1
43852392.17,77930097.89,89914,8361800178.29,7.657668144,8361895032.87,1
31378378.71,121037613.88,90176,8455559643.63,7.661423101,8455657095.29,1
30162132.3,81900744.74,90453,8511478253.93,7.665210518,8511523315.49,1
51501006.22,93733183.68,90657,8557992640.38,7.669066961,8558039924.07,1
32037967.9,69872941.26,90889,8600032326.83,7.672834927,8600081797.12,1
37131380.38,81893547.5,91112,8648969459.59,7.676559776,8649021171.23,1
42792886.22,62293710.33,91322,8672542470.64,7.680174124,8672596222.33,1
29312978.7,74346690.65,91544,8721609379.18,7.683745816,8721665373.25,1
46920965.56,94701061.79,91781,8773631484.85,7.68748303,8773689744.75,1
24726109.99,88781767.14,92022,8842031164.75,7.691289276,8842091820.47,1
36094537.95,55814307.57,92202,8866168307.46,7.695131752,8866231007.7,1
40364278.04,154426831.38,92372,8984651115.61,7.698968183,8984716609.15,1
37344482.02,65947598.23,92596,9017707340.53,7.702784062,9017774949.39,1
40330121.26,53341167.76,92762,9035176434.53,7.706592056,9035246034.99,1
47841888.93,64799409.77,92935,9056547714.06,7.71035679,9056619337.09,1
35869143.76,58359692.56,93109,9083610552.01,7.714249441,9083684242.79,1
83523487.35,58052016.59,93277,9062751443.44,7.718166486,9062826988.06,1
36870518.37,87368072.68,93413,9117770877.57,7.722017482,9117848545.38,1
155503880.21,74345095.6,93550,9041143494.69,7.725855214,9041222976.01,1
4905783.93,992985.93,57685,4930999290.44,46.468192,4926729221.33,1
4258943.64,1116548.12,57644,4926859824.82,46.458796,4918883827.13,1
5060636.52,986939.84,57598,4925529026.67,46.484661,4917903745.28,1
2687243.32,837439.21,57560,4913131677.89,46.385118,4904130507.07,1
5348479.62,1290228.67,57519,4923808978.79,46.524237,4915290970.01,1
2678754.18,457063.67,57494,4919005164.93,46.499839,4910674409.63,1
